Date,Code,Next_Ret,Next_Ret_Rank,Above_Quarter_Median,model,model_label,prediction,predicted_rank,portfolio,turnover
2021-12-31,000521,0.0109,0.270189312245387,1,ridge,Ridge回归,0.12695322745813872,18,strict_top30,1.0
2021-12-31,603196,-0.0501,0.16187395159357776,1,ridge,Ridge回归,0.12688123911945876,19,strict_top30,1.0
2021-12-31,000822,0.023,0.28888090103043373,1,ridge,Ridge回归,0.12681121839399875,20,strict_top30,1.0
2021-12-31,300240,-0.1233,-0.0088665228852145,0,ridge,Ridge回归,0.1265587178706163,21,strict_top30,1.0
2021-12-31,603889,-0.0339,0.19446441409058235,1,ridge,Ridge回归,0.126278641404713,22,strict_top30,1.0
2021-12-31,000404,0.0576,0.33153606518092504,1,ridge,Ridge回归,0.12532823648850974,23,strict_top30,1.0
2021-12-31,603029,0.2797,0.4556673855739276,1,ridge,Ridge回归,0.12524672182628502,24,strict_top30,1.0
2021-12-31,600748,0.1457,0.40510424155283964,1,ridge,Ridge回归,0.12430373000303058,25,strict_top30,1.0
2021-12-31,600113,0.306,0.4618979151689432,1,ridge,Ridge回归,0.12334711552355991,26,strict_top30,1.0
2021-12-31,600123,0.3511,0.4678888090103044,1,ridge,Ridge回归,0.12307772607736725,27,strict_top30,1.0
2021-12-31,603009,-0.1733,-0.15240833932422715,0,ridge,Ridge回归,0.12162406504910477,28,strict_top30,1.0
2021-12-31,300195,-0.1788,-0.16403067337646776,0,ridge,Ridge回归,0.12143923672082374,29,strict_top30,1.0
2021-12-31,002328,-0.1567,-0.1037622813323748,0,ridge,Ridge回归,0.12141338467929588,30,strict_top30,1.0
2022-03-31,002783,0.0765,0.21960737937559127,1,ridge,Ridge回归,0.16561315325540177,1,strict_top30,0.9
2022-03-31,300533,0.538,0.48415326395458846,1,ridge,Ridge回归,0.15290913460043,2,strict_top30,0.9
2022-03-31,603086,0.3559,0.4548249763481551,1,ridge,Ridge回归,0.15101366548583597,3,strict_top30,0.9
2022-03-31,000525,0.8162,0.4947965941343425,1,ridge,Ridge回归,0.15035278631596738,4,strict_top30,0.9
2022-03-31,600780,0.3952,0.4642857142857143,1,ridge,Ridge回归,0.1468903890062105,5,strict_top30,0.9
2022-03-31,600387,0.016,0.08703878902554396,1,ridge,Ridge回归,0.1457194608908788,6,strict_top30,0.9
2022-03-31,600287,-0.0496,-0.09295175023651847,0,ridge,Ridge回归,0.1456415099314247,7,strict_top30,0.9
2022-03-31,002478,0.0198,0.10052034058656578,1,ridge,Ridge回归,0.1434306500787312,8,strict_top30,0.9
2022-03-31,002133,-0.1499,-0.3528855250709555,0,ridge,Ridge回归,0.14314258854488066,9,strict_top30,0.9
2022-03-31,000404,0.129,0.3019157994323557,1,ridge,Ridge回归,0.14281025779223286,10,strict_top30,0.9
2022-03-31,002343,0.1595,0.3394039735099338,1,ridge,Ridge回归,0.14241175842845583,11,strict_top30,0.9
2022-03-31,603585,0.1443,0.3195364238410596,1,ridge,Ridge回归,0.14081003737584855,12,strict_top30,0.9
2022-03-31,002328,0.1858,0.36518448438978235,1,ridge,Ridge回归,0.14064580264734225,13,strict_top30,0.9
2022-03-31,600508,0.777,0.4940870387890255,1,ridge,Ridge回归,0.1398315599318899,14,strict_top30,0.9
2022-03-31,002718,0.0449,0.15633869441816461,1,ridge,Ridge回归,0.1395807884601339,15,strict_top30,0.9
2022-03-31,000726,0.1299,0.3025070955534531,1,ridge,Ridge回归,0.13909466549780183,16,strict_top30,0.9
2022-03-31,600449,-0.0967,-0.23155156102175972,0,ridge,Ridge回归,0.1359259941874497,17,strict_top30,0.9
2022-03-31,002696,-0.044,-0.07355723746452225,0,ridge,Ridge回归,0.13464695214641212,18,strict_top30,0.9
