top_n,weight_method,power,weight_cap,validation_total_return,validation_sharpe,validation_max_drawdown,validation_average_turnover,selection_score
30,score_pw,0.5,0.15,0.31392503554756934,3.842757304574603,0.0,0.8287620345531367,3.842757304574603
30,score_pw,1.0,0.05,0.30030248257335157,4.126514225330318,0.0,0.831114100073089,4.126514225330318
30,score_pw,1.0,0.08,0.3039643721541574,3.9511452676454524,0.0,0.8327377164891159,3.9511452676454524
30,score_pw,1.0,0.1,0.29737701102782466,3.5326980365709075,0.0,0.8316204459342936,3.5326980365709075
30,score_pw,1.0,0.15,0.28755279429082625,3.253953026938467,0.0,0.8332775337694228,3.253953026938467
30,score_pw,2.0,0.05,0.29195197561402564,3.764605840092475,0.0,0.8298254661941838,3.764605840092475
30,score_pw,2.0,0.08,0.2891143924051547,4.334904698736143,0.0,0.8369385007240241,4.334904698736143
30,score_pw,2.0,0.1,0.29239580083772543,4.43043549738991,0.0,0.835902534312775,4.43043549738991
30,score_pw,2.0,0.15,0.2849372293435535,2.814429782137758,0.0,0.8333622608340671,2.814429782137758
50,ew,1.0,0.05,0.3261078153941761,5.030898772970278,0.0,0.7800000000000002,5.030898772970278
50,ew,1.0,0.08,0.3261078153941761,5.030898772970278,0.0,0.7800000000000002,5.030898772970278
50,ew,1.0,0.1,0.3261078153941761,5.030898772970278,0.0,0.7800000000000002,5.030898772970278
50,ew,1.0,0.15,0.3261078153941761,5.030898772970278,0.0,0.7800000000000002,5.030898772970278
50,rank_pw,0.5,0.05,0.3348579681676578,5.0357597067094995,0.0,0.7974434109311348,5.0357597067094995
50,rank_pw,0.5,0.08,0.3348579681676578,5.0357597067094995,0.0,0.7974434109311348,5.0357597067094995
50,rank_pw,0.5,0.1,0.3348579681676578,5.0357597067094995,0.0,0.7974434109311348,5.0357597067094995
50,rank_pw,0.5,0.15,0.3348579681676578,5.0357597067094995,0.0,0.7974434109311348,5.0357597067094995
50,rank_pw,1.0,0.05,0.331772888015456,4.955809115650072,0.0,0.8107189542483662,4.955809115650072
50,rank_pw,1.0,0.08,0.331772888015456,4.955809115650072,0.0,0.8107189542483662,4.955809115650072
50,rank_pw,1.0,0.1,0.331772888015456,4.955809115650072,0.0,0.8107189542483662,4.955809115650072
50,rank_pw,1.0,0.15,0.331772888015456,4.955809115650072,0.0,0.8107189542483662,4.955809115650072
50,rank_pw,2.0,0.05,0.3151482488974573,4.678307352279017,0.0,0.824836757445453,4.678307352279017
50,rank_pw,2.0,0.08,0.31382453104065267,4.455594526259305,0.0,0.8242050087361678,4.455594526259305
50,rank_pw,2.0,0.1,0.31382453104065267,4.455594526259305,0.0,0.8242050087361678,4.455594526259305
50,rank_pw,2.0,0.15,0.31382453104065267,4.455594526259305,0.0,0.8242050087361678,4.455594526259305
50,score_pw,0.5,0.05,0.33624022647144103,4.85418072660142,0.0,0.7998707808309611,4.85418072660142
50,score_pw,0.5,0.08,0.33558177407328205,4.813307818111129,0.0,0.8000832586430922,4.813307818111129
50,score_pw,0.5,0.1,0.33558177407328205,4.813307818111129,0.0,0.8000832586430922,4.813307818111129
50,score_pw,0.5,0.15,0.33558177407328205,4.813307818111129,0.0,0.8000832586430922,4.813307818111129
50,score_pw,1.0,0.05,0.3389033606300611,5.018526738701405,0.0,0.8142336648805314,5.018526738701405
50,score_pw,1.0,0.08,0.3272453479471691,4.391060899084358,0.0,0.815256864552397,4.391060899084358
50,score_pw,1.0,0.1,0.3254636664927235,4.302921009877714,0.0,0.8159925680091836,4.302921009877714
50,score_pw,1.0,0.15,0.3230610439043493,4.187786258007125,0.0,0.8170540942531687,4.187786258007125
50,score_pw,2.0,0.05,0.3174921212707238,4.62757727602164,0.0,0.8274052885083588,4.62757727602164
50,score_pw,2.0,0.08,0.3198099580245053,4.226873393013554,0.0,0.829418490954565,4.226873393013554
50,score_pw,2.0,0.1,0.3127181014244156,3.676689649266032,0.0,0.8283596009405546,3.676689649266032
50,score_pw,2.0,0.15,0.2908082057595218,3.110654859559771,0.0,0.8279454702618955,3.110654859559771
