Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-11-20,00700,626.5,621.0,630.5,615.5,14015988.0,,2.4096,-0.241,-1.5,
2025-11-21,00700,610.0,610.0,615.0,606.0,23732050.0,,1.4493,-1.7713,-11.0,
2025-11-24,00700,615.0,624.5,627.5,613.5,22376801.0,,2.2951,2.377,14.5,
2025-11-25,00700,633.0,625.0,635.0,620.5,14877620.0,,2.3219,0.0801,0.5,
2025-11-26,00700,628.5,619.5,630.0,618.0,14429595.0,,1.92,-0.88,-5.5,
2025-11-27,00700,618.0,611.5,620.5,609.0,15493209.0,,1.8563,-1.2914,-8.0,
2025-11-28,00700,611.5,611.5,617.0,608.5,13216245.0,,1.39,0.0,0.0,
2025-12-01,00700,613.5,619.5,623.0,613.0,12643338.0,,1.6353,1.3083,8.0,
2025-12-02,00700,625.5,617.0,626.0,615.0,11460186.0,,1.7756,-0.4036,-2.5,
2025-12-03,00700,616.0,611.0,616.0,608.5,11002158.0,,1.2156,-0.9724,-6.0,
2025-12-04,00700,610.0,612.0,613.0,605.0,15329748.0,,1.3093,0.1637,1.0,
2025-12-05,00700,605.0,610.0,611.0,604.0,14638391.0,,1.1438,-0.3268,-2.0,
2025-12-08,00700,607.5,605.0,609.5,604.0,13421327.0,,0.9016,-0.8197,-5.0,
2025-12-09,00700,609.5,602.5,610.0,596.0,17431321.0,,2.314,-0.4132,-2.5,
2025-12-10,00700,602.0,603.0,603.0,595.0,14750743.0,,1.3278,0.083,0.5,
2025-12-11,00700,609.0,601.5,612.0,599.0,12480887.0,,2.1559,-0.2488,-1.5,
2025-12-12,00700,608.0,616.0,616.0,601.5,17825495.0,,2.4106,2.4106,14.5,
2025-12-15,00700,606.0,603.0,608.5,602.0,15165502.0,,1.0552,-2.1104,-13.0,
2025-12-16,00700,602.5,596.5,603.0,592.0,15987678.0,,1.8242,-1.0779,-6.5,
2025-12-17,00700,597.0,605.0,606.0,594.5,14824785.0,,1.9279,1.425,8.5,
2025-12-18,00700,601.0,605.0,606.0,599.0,10153604.0,,1.157,0.0,0.0,
2025-12-19,00700,610.0,614.0,617.5,607.0,17765762.0,,1.7355,1.4876,9.0,
2025-12-22,00700,620.0,614.5,621.5,610.0,13868060.0,,1.873,0.0814,0.5,
2025-12-23,00700,613.5,602.0,614.5,601.5,15623392.0,,2.1155,-2.0342,-12.5,
2025-12-24,00700,598.0,603.0,604.5,598.0,7324553.0,,1.0797,0.1661,1.0,
2025-12-29,00700,606.0,596.5,611.0,596.0,18502650.0,,2.4876,-1.0779,-6.5,
2025-12-30,00700,598.5,600.0,601.0,594.0,13582535.0,,1.1735,0.5868,3.5,
2025-12-31,00700,597.5,599.0,602.5,596.0,10838209.0,,1.0833,-0.1667,-1.0,
2026-01-02,00700,600.5,623.0,624.5,600.5,16200058.0,,4.0067,4.0067,24.0,
2026-01-05,00700,624.0,624.5,628.0,615.5,19947025.0,,2.0064,0.2408,1.5,
2026-01-06,00700,627.0,632.5,638.5,626.0,24168431.0,,2.0016,1.281,8.0,
2026-01-07,00700,627.5,624.5,629.5,615.0,21378622.0,,2.2925,-1.2648,-8.0,
2026-01-08,00700,618.5,616.0,621.0,610.0,18742539.0,,1.7614,-1.3611,-8.5,
2026-01-09,00700,616.0,611.0,617.0,610.0,17813669.0,,1.1364,-0.8117,-5.0,
2026-01-12,00700,616.0,623.0,627.5,613.5,27530129.0,,2.2913,1.964,12.0,
2026-01-13,00700,637.0,627.5,639.0,622.5,24212695.0,,2.6485,0.7223,4.5,
2026-01-14,00700,634.0,633.0,638.5,626.0,28677291.0,,1.992,0.8765,5.5,
2026-01-15,00700,631.0,622.0,632.5,618.5,26194252.0,,2.2117,-1.7378,-11.0,
2026-01-16,00700,627.0,617.5,630.0,613.5,20616793.0,,2.6527,-0.7235,-4.5,
2026-01-19,00700,613.5,610.0,614.5,608.5,13233330.0,,0.9717,-1.2146,-7.5,
2026-01-20,00700,601.0,601.0,607.0,598.0,24332228.0,,1.4754,-1.4754,-9.0,
2026-01-21,00700,598.0,602.5,606.0,598.0,16003431.0,,1.3311,0.2496,1.5,
2026-01-22,00700,604.5,597.5,605.5,596.0,27168713.0,,1.5768,-0.8299,-5.0,
2026-01-23,00700,597.5,595.0,602.0,595.0,19177660.0,,1.1715,-0.4184,-2.5,
2026-01-26,00700,595.0,599.5,605.0,594.0,17439619.0,,1.8487,0.7563,4.5,
2026-01-27,00700,600.0,607.0,610.5,598.5,23887447.0,,2.0017,1.251,7.5,
2026-01-28,00700,613.0,621.0,623.0,610.5,25577066.0,,2.0593,2.3064,14.0,
2026-01-29,00700,614.5,622.0,625.0,612.5,22951530.0,,2.0129,0.161,1.0,
2026-01-30,00700,615.0,606.0,619.5,605.5,21479886.0,,2.2508,-2.5723,-16.0,
2026-02-02,00700,598.0,598.5,604.5,590.5,27926332.0,,2.3102,-1.2376,-7.5,
2026-02-03,00700,598.5,581.0,601.5,561.0,65128647.0,,6.7669,-2.924,-17.5,
2026-02-04,00700,572.0,558.0,574.5,558.0,60374834.0,,2.8399,-3.9587,-23.0,
2026-02-05,00700,550.0,558.5,561.5,541.0,79306977.0,,3.6738,0.0896,0.5,
