Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,PctChg,涨跌额,Turnover
2025-10-29,600519,1388.039,1379.919,1394.569,1378.059,33937.0,,1.1852,-0.9404,-13.1,
2025-10-30,600519,1369.829,1374.759,1384.649,1369.829,47456.0,,1.074,-0.3739,-5.16,
2025-10-31,600519,1370.019,1378.029,1383.999,1368.129,35694.0,,1.1544,0.2379,3.27,
2025-11-03,600519,1379.019,1383.019,1396.019,1368.119,34548.0,,2.0246,0.3621,4.99,
2025-11-04,600519,1383.119,1377.019,1383.799,1371.799,26566.0,,0.8677,-0.4338,-6.0,
2025-11-05,600519,1373.909,1368.099,1379.009,1368.029,34475.0,,0.7974,-0.6478,-8.92,
2025-11-06,600519,1378.019,1383.149,1389.469,1378.009,38348.0,,0.8377,1.1001,15.05,
2025-11-07,600519,1383.129,1381.349,1387.799,1379.129,18861.0,,0.6268,-0.1301,-1.8,
2025-11-10,600519,1383.019,1410.319,1411.709,1382.999,49452.0,,2.0784,2.0972,28.97,
2025-11-11,600519,1410.019,1407.009,1410.199,1395.019,26692.0,,1.0764,-0.2347,-3.31,
2025-11-12,600519,1407.999,1413.169,1426.379,1407.229,32992.0,,1.361,0.4378,6.16,
2025-11-13,600519,1410.139,1418.399,1421.599,1406.019,31179.0,,1.1025,0.3701,5.23,
2025-11-14,600519,1418.019,1404.619,1426.969,1404.319,27473.0,,1.5969,-0.9715,-13.78,
2025-11-17,600519,1402.019,1419.019,1421.019,1393.809,34462.0,,1.9372,1.0252,14.4,
2025-11-18,600519,1418.719,1424.019,1434.089,1417.019,34205.0,,1.2029,0.3524,5.0,
2025-11-19,600519,1422.019,1419.029,1427.549,1417.979,22045.0,,0.672,-0.3504,-4.99,
2025-11-20,600519,1420.019,1415.129,1427.919,1413.049,24002.0,,1.0479,-0.2748,-3.9,
2025-11-21,600519,1418.519,1414.619,1428.019,1404.019,42607.0,,1.696,-0.036,-0.51,
2025-11-24,600519,1415.019,1400.019,1419.019,1399.149,33607.0,,1.4046,-1.0321,-14.6,
2025-11-25,600519,1406.019,1392.669,1406.019,1392.519,28441.0,,0.9643,-0.525,-7.35,
2025-11-26,600519,1396.899,1397.169,1401.509,1391.599,20306.0,,0.7116,0.3231,4.5,
2025-11-27,600519,1397.519,1395.319,1398.019,1387.059,22287.0,,0.7844,-0.1324,-1.85,
2025-11-28,600519,1394.519,1398.519,1403.519,1391.019,23211.0,,0.8959,0.2293,3.2,
2025-12-01,600519,1399.019,1396.019,1410.289,1390.019,27333.0,,1.4494,-0.1788,-2.5,
2025-12-02,600519,1396.019,1384.049,1399.939,1383.039,25047.0,,1.2106,-0.8574,-11.97,
2025-12-03,600519,1383.829,1377.119,1383.989,1376.019,23573.0,,0.5758,-0.5007,-6.93,
2025-12-04,600519,1377.119,1371.999,1380.519,1366.399,29075.0,,1.0253,-0.3718,-5.12,
2025-12-05,600519,1371.999,1378.029,1381.109,1367.519,25402.0,,0.9905,0.4395,6.03,
2025-12-08,600519,1377.219,1366.239,1384.689,1366.019,33603.0,,1.3548,-0.8556,-11.79,
2025-12-09,600519,1366.249,1349.029,1369.019,1348.069,42634.0,,1.5334,-1.2597,-17.21,
2025-12-10,600519,1348.019,1350.819,1350.819,1331.199,33133.0,,1.4544,0.1327,1.79,
2025-12-11,600519,1354.679,1360.009,1360.009,1349.569,22385.0,,0.7729,0.6803,9.19,
2025-12-12,600519,1366.019,1368.669,1373.019,1361.589,37159.0,,0.8404,0.6368,8.66,
2025-12-15,600519,1387.609,1374.019,1388.009,1373.589,33359.0,,1.0536,0.3909,5.35,
2025-12-16,600519,1374.219,1370.019,1376.799,1363.019,23964.0,,1.0029,-0.2911,-4.0,
2025-12-17,600519,1373.019,1381.119,1387.959,1365.699,31382.0,,1.6248,0.8102,11.1,
2025-12-18,600519,1381.519,1379.019,1386.899,1374.129,17830.0,,0.9246,-0.1521,-2.1,
