model,model_label,fpr,tpr,threshold,auc
logistic_regression,逻辑回归,0.6162790697674418,0.6254681647940075,0.48893747622830885,0.5086519757280143
logistic_regression,逻辑回归,0.6162790697674418,0.6367041198501873,0.4884839407997763,0.5086519757280143
logistic_regression,逻辑回归,0.6201550387596899,0.6367041198501873,0.4884139168157568,0.5086519757280143
logistic_regression,逻辑回归,0.6201550387596899,0.6479400749063671,0.4877889079188155,0.5086519757280143
logistic_regression,逻辑回归,0.6434108527131783,0.6479400749063671,0.4869052488446076,0.5086519757280143
logistic_regression,逻辑回归,0.6434108527131783,0.651685393258427,0.4868114593178235,0.5086519757280143
logistic_regression,逻辑回归,0.6472868217054264,0.651685393258427,0.4863289659808601,0.5086519757280143
logistic_regression,逻辑回归,0.6472868217054264,0.6554307116104869,0.48575710779127623,0.5086519757280143
logistic_regression,逻辑回归,0.6511627906976745,0.6554307116104869,0.4854839796355534,0.5086519757280143
logistic_regression,逻辑回归,0.6511627906976745,0.6666666666666666,0.4842978856087149,0.5086519757280143
logistic_regression,逻辑回归,0.6550387596899225,0.6666666666666666,0.4839792002385557,0.5086519757280143
logistic_regression,逻辑回归,0.6550387596899225,0.6741573033707865,0.48284727680064776,0.5086519757280143
logistic_regression,逻辑回归,0.6589147286821705,0.6741573033707865,0.4826352496009991,0.5086519757280143
logistic_regression,逻辑回归,0.6589147286821705,0.6779026217228464,0.4819290934377388,0.5086519757280143
logistic_regression,逻辑回归,0.6627906976744186,0.6779026217228464,0.4815670362967202,0.5086519757280143
logistic_regression,逻辑回归,0.6627906976744186,0.6816479400749064,0.4814652994285579,0.5086519757280143
logistic_regression,逻辑回归,0.686046511627907,0.6816479400749064,0.47952677008112815,0.5086519757280143
logistic_regression,逻辑回归,0.686046511627907,0.6853932584269663,0.47948348086978326,0.5086519757280143
logistic_regression,逻辑回归,0.6937984496124031,0.6853932584269663,0.47812471015926183,0.5086519757280143
logistic_regression,逻辑回归,0.6937984496124031,0.6891385767790262,0.47773622158549234,0.5086519757280143
logistic_regression,逻辑回归,0.6976744186046512,0.6891385767790262,0.4775166652945979,0.5086519757280143
logistic_regression,逻辑回归,0.6976744186046512,0.6928838951310862,0.4774760505295259,0.5086519757280143
logistic_regression,逻辑回归,0.7015503875968992,0.6928838951310862,0.4770268224824558,0.5086519757280143
logistic_regression,逻辑回归,0.7015503875968992,0.704119850187266,0.4760323582027302,0.5086519757280143
logistic_regression,逻辑回归,0.7093023255813954,0.704119850187266,0.47476034498897407,0.5086519757280143
logistic_regression,逻辑回归,0.7093023255813954,0.7078651685393258,0.4739925737152141,0.5086519757280143
logistic_regression,逻辑回归,0.7286821705426356,0.7078651685393258,0.4712012613083812,0.5086519757280143
logistic_regression,逻辑回归,0.7286821705426356,0.7153558052434457,0.4706809761864321,0.5086519757280143
logistic_regression,逻辑回归,0.7325581395348837,0.7153558052434457,0.47000174872292966,0.5086519757280143
logistic_regression,逻辑回归,0.7325581395348837,0.7191011235955056,0.4696712478394174,0.5086519757280143
logistic_regression,逻辑回归,0.748062015503876,0.7191011235955056,0.4687601014340667,0.5086519757280143
logistic_regression,逻辑回归,0.748062015503876,0.7303370786516854,0.46808889089739314,0.5086519757280143
logistic_regression,逻辑回归,0.7635658914728682,0.7303370786516854,0.466889138327477,0.5086519757280143
logistic_regression,逻辑回归,0.7635658914728682,0.7340823970037453,0.46656292844361263,0.5086519757280143
logistic_regression,逻辑回归,0.7674418604651163,0.7340823970037453,0.4644841439268598,0.5086519757280143
logistic_regression,逻辑回归,0.7674418604651163,0.7415730337078652,0.464266503059457,0.5086519757280143
logistic_regression,逻辑回归,0.7713178294573644,0.7415730337078652,0.4641933895000278,0.5086519757280143
logistic_regression,逻辑回归,0.7713178294573644,0.7453183520599251,0.4636726064181733,0.5086519757280143
logistic_regression,逻辑回归,0.7751937984496124,0.7453183520599251,0.4636475624867411,0.5086519757280143
logistic_regression,逻辑回归,0.7751937984496124,0.7490636704119851,0.46344104750723364,0.5086519757280143
logistic_regression,逻辑回归,0.7790697674418605,0.7490636704119851,0.46283524261962294,0.5086519757280143
logistic_regression,逻辑回归,0.7790697674418605,0.7602996254681648,0.46050165736172055,0.5086519757280143
logistic_regression,逻辑回归,0.7829457364341085,0.7602996254681648,0.45999523530808517,0.5086519757280143
logistic_regression,逻辑回归,0.7829457364341085,0.7640449438202247,0.45989091861454207,0.5086519757280143
logistic_regression,逻辑回归,0.7906976744186046,0.7640449438202247,0.4584857709905412,0.5086519757280143
logistic_regression,逻辑回归,0.7906976744186046,0.7790262172284644,0.45676710922815195,0.5086519757280143
logistic_regression,逻辑回归,0.8062015503875969,0.7790262172284644,0.4562195777442433,0.5086519757280143
logistic_regression,逻辑回归,0.8062015503875969,0.7865168539325843,0.45606205764733154,0.5086519757280143
logistic_regression,逻辑回归,0.810077519379845,0.7865168539325843,0.45475502928086836,0.5086519757280143
logistic_regression,逻辑回归,0.810077519379845,0.7902621722846442,0.45378088615392814,0.5086519757280143
