model,fpr,tpr
逻辑回归,0.021023608478373257,0.026423520655005583
逻辑回归,0.021023608478373257,0.02679568291775214
逻辑回归,0.021885231776667242,0.02679568291775214
逻辑回归,0.021885231776667242,0.027540007443245255
逻辑回归,0.022057556436326037,0.027540007443245255
逻辑回归,0.022057556436326037,0.02791216970599181
逻辑回归,0.022746855074961228,0.02791216970599181
逻辑回归,0.022746855074961228,0.028656494231484926
逻辑回归,0.022919179734620022,0.028656494231484926
逻辑回归,0.022919179734620022,0.029028656494231486
逻辑回归,0.024642426331207997,0.029028656494231486
逻辑回归,0.024642426331207997,0.0297729810197246
逻辑回归,0.02481475099086679,0.0297729810197246
逻辑回归,0.02481475099086679,0.030517305545217716
逻辑回归,0.02498707565052559,0.030517305545217716
逻辑回归,0.02498707565052559,0.03126163007071083
逻辑回归,0.025504049629501983,0.03126163007071083
逻辑回归,0.025504049629501983,0.03163379233345739
逻辑回归,0.026021023608478373,0.03163379233345739
逻辑回归,0.026021023608478373,0.03275027912169706
逻辑回归,0.02619334826813717,0.03275027912169706
逻辑回归,0.02619334826813717,0.03312244138444362
逻辑回归,0.026365672927795968,0.03312244138444362
逻辑回归,0.026365672927795968,0.03386676590993673
逻辑回归,0.027227296226089954,0.03386676590993673
逻辑回归,0.027227296226089954,0.03423892817268329
逻辑回归,0.02791659486472514,0.03423892817268329
逻辑回归,0.02791659486472514,0.03461109043542985
逻辑回归,0.02808891952438394,0.03461109043542985
逻辑回归,0.02808891952438394,0.034983252698176405
逻辑回归,0.028778218163019127,0.034983252698176405
逻辑回归,0.028778218163019127,0.03609973948641608
逻辑回归,0.0305014647596071,0.03609973948641608
逻辑回归,0.0305014647596071,0.036471901749162636
逻辑回归,0.031018438738583492,0.036471901749162636
逻辑回归,0.031018438738583492,0.03684406401190919
逻辑回归,0.03119076339824229,0.03684406401190919
逻辑回归,0.03119076339824229,0.03758838853740231
逻辑回归,0.031363088057901084,0.03758838853740231
逻辑回归,0.031363088057901084,0.037960550800148866
逻辑回归,0.031880062036877474,0.037960550800148866
逻辑回归,0.031880062036877474,0.039077037588388534
逻辑回归,0.03239703601585387,0.039077037588388534
逻辑回归,0.03239703601585387,0.04019352437662821
逻辑回归,0.033775633293124246,0.04019352437662821
逻辑回归,0.033775633293124246,0.04093784890212133
逻辑回归,0.03394795795278304,0.04093784890212133
逻辑回归,0.03394795795278304,0.042054335690360996
逻辑回归,0.034292607272100636,0.042054335690360996
逻辑回归,0.034292607272100636,0.04242649795310755
逻辑回归,0.03446493193175944,0.04242649795310755
逻辑回归,0.03446493193175944,0.042798660215854115
逻辑回归,0.03498190591073583,0.042798660215854115
逻辑回归,0.03498190591073583,0.04317082247860067
逻辑回归,0.03515423057039462,0.04317082247860067
逻辑回归,0.03515423057039462,0.043542984741347227
逻辑回归,0.03549887988971222,0.043542984741347227
逻辑回归,0.03549887988971222,0.04391514700409378
逻辑回归,0.03722212648630019,0.04391514700409378
逻辑回归,0.03722212648630019,0.044287309266840345
逻辑回归,0.037566775805617784,0.044287309266840345
逻辑回归,0.037566775805617784,0.0446594715295869
逻辑回归,0.038600723763570564,0.0446594715295869
