Date,Symbol_stock,Name_stock,Open_stock,High_stock,Low_stock,Close_stock,Volume_stock,Amount_stock,Symbol_benchmark,Name_benchmark,Open_benchmark,High_benchmark,Low_benchmark,Close_benchmark,Volume_benchmark,Amount_benchmark,return_1d,return_5d,return_10d,return_20d,ma5_gap,ma20_gap,ma60_gap,rsi14,macd_pct,atr14_pct,volatility20,intraday_range,open_close_return,volume_ratio20,amount_ratio20,excess_return_5d,excess_return_20d,benchmark_return_20d,benchmark_volatility20,beta60,stock_future_20d,benchmark_future_20d,future_excess_20d,label_end_date,target,week
2025-02-19,300750.SZ,宁德时代,258.31,265.45,258.29,263.1,20445539.0,5580141096.0,000300.SH,沪深300,3906.22,3943.674,3904.146,3940.16,18282951700,,0.01029106827432602,0.07151584263256505,0.08503794127350717,0.07282661882237806,0.017071021014055665,0.05549894490223317,0.05141237331067017,65.43611323641932,0.011952500197114196,0.029866427756963663,0.02112456149001437,0.027213987077156852,0.018543610390616028,0.860960948493629,0.9024325776047832,0.06633759911276771,0.04151690867669178,0.03130971014568629,0.0068228218559574175,1.2512165998716198,-0.02983656404408974,0.017767806383497176,-0.04760437042758692,2025-03-19,0,2025-02-15/2025-02-21
2025-02-20,300750.SZ,宁德时代,262.37,262.37,256.8,259.87,19589001.0,5267400819.0,000300.SH,沪深300,3934.65,3940.678,3916.177,3928.896,16389523600,,-0.012276700874192414,0.03369132856006374,0.06753481493653202,0.08220547203598061,-0.0019510096859181036,0.03842910974094216,0.03832123350341021,62.166091222969314,0.013125897152484975,0.030515257628814397,0.020682708962429477,0.02143379381998689,-0.009528528414071702,0.817104994524304,0.8418562604127635,0.027608063939589034,0.047203077426460016,0.03500239460952059,0.006647926169575766,1.2407489604637292,-0.02978412283064613,0.011732557950121292,-0.04151668078076742,2025-03-20,0,2025-02-15/2025-02-21
2025-02-21,300750.SZ,宁德时代,258.32,266.3,257.55,265.02,30951906.0,8443562273.0,000300.SH,沪深300,3938.052,3981.048,3927.787,3978.444,22740033000,,0.019817601108246263,0.021665381649961457,0.05463806757133183,0.10780420515821598,0.013453051984305908,0.053579415009392006,0.058269653379618536,62.821428571428584,0.015061653756222653,0.03000851687743242,0.020878908677544356,0.03301637612255679,0.02593682254567975,1.2525131626272328,1.30377603024811,0.01165398030510545,0.060951045056500064,0.04685316010171592,0.007074436309685519,1.2511503113212366,-0.07093804241189339,-0.01602334983224596,-0.05491469257964743,2025-03-21,0,2025-02-15/2025-02-21
2025-02-24,300750.SZ,宁德时代,262.58,264.2,257.91,261.12,27753762.0,7510840228.0,000300.SH,沪深300,3972.483,3995.946,3949.231,3969.717,22081061800,,-0.014715870500339512,0.007796217676572681,0.05048879591262034,0.08465564509429258,-0.0030010767221827495,0.03388679588931787,0.04239520958083842,62.35377525700108,0.015663049550647318,0.03083147321428569,0.021351313145038086,0.024088541666666526,-0.005560210221646655,1.0864996001636222,1.118938738322444,0.0021421133779941925,0.04337551893565461,0.041280126158637964,0.007141881688783901,1.255582654755298,-0.04913449754901966,-0.008783497664946904,-0.04035099988407276,2025-03-24,0,2025-02-22/2025-02-28
2025-02-25,300750.SZ,宁德时代,257.26,263.53,254.4,259.18,23209375.0,6243748571.0,000300.SH,沪深300,3933.636,3955.434,3915.653,3925.651,17810858000,,-0.0074295343137255054,-0.0047615390523001455,0.07019572219010661,0.01975133774000626,-0.009470377362817195,0.025186650185414106,0.03388233761070447,65.56093924711149,0.01530049102472044,0.030676419035860318,0.017698201063069387,0.035226483524963215,0.007463266734043517,0.9287281804673809,0.9500207889055186,-0.008050246859505394,-0.005309529027835103,0.02506086676784136,0.007689865340875925,1.2679763865914395,-0.037117061501659054,0.0016924581426112084,-0.03880951964427026,2025-03-25,0,2025-02-22/2025-02-28
2025-02-26,300750.SZ,宁德时代,261.08,262.45,256.97,258.35,21173074.0,5698649750.0,000300.SH,沪深300,3931.842,3960.33,3925.366,3959.941,19106250100,,-0.003202407593178469,-0.01805397187381219,0.0521707257473325,0.021671214458022003,-0.009044601623271808,0.02079723730819305,0.030191297505370196,63.93350765782598,0.014541320289153262,0.0311509856506953,0.01766858422475001,0.02121153473969406,-0.010456565037536225,0.8350821201773115,0.8539755311026591,-0.023074326377182652,-0.011550489261240138,0.03322170371926214,0.007866990833824939,1.2685543941364745,-0.04354557770466427,-0.010248637542832006,-0.03329694016183227,2025-03-26,0,2025-02-22/2025-02-28
2025-02-27,300750.SZ,宁德时代,259.94,261.32,257.44,259.68,23185110.0,6250587950.0,000300.SH,沪深300,3961.064,3973.932,3933.461,3968.116,20288796300,,0.005148054964195792,-0.0007311347981683314,0.032935560859188584,0.05150631681243922,-0.003797905397629253,0.02348037718373419,0.034535648148455556,58.923633269517175,0.014080486882471056,0.02916226564562974,0.01670391530692754,0.01494146642020947,-0.0010002308224974499,0.9177969038461326,0.938020342387973,-0.010713582793737575,0.006444890961567307,0.04506142585087192,0.007432679764897309,1.2565313920608636,-0.041166050523721465,-0.00899772083275796,-0.032168329690963504,2025-03-27,0,2025-02-22/2025-02-28
2025-02-28,300750.SZ,宁德时代,259.3,260.94,253.54,254.2,22265458.0,5935077345.0,000300.SH,沪深300,3950.187,3972.481,3886.399,3890.049,19810414700,,-0.02110289587184233,-0.040827107388121675,-0.02004626060138781,0.031320999675430006,-0.016657253603398092,0.00036008240574392225,0.012339631583244026,55.65601768133415,0.012191171026816548,0.030170282117567684,0.017510890815330124,0.029110936270653053,-0.019668337832626337,0.8715389910587557,0.8798231242218931,-0.01860862197020452,0.008631512685769227,0.02268948698966078,0.008903915128887883,1.2765800626836576,-0.02836349331235244,0.006456731007758565,-0.034820224320111004,2025-03-28,0,2025-02-22/2025-02-28
2025-03-03,300750.SZ,宁德时代,254.87,268.63,252.22,263.08,38736403.0,10603328988.0,000300.SH,沪深300,3899.696,3930.005,3872.587,3888.474,17762316600,,0.034933123524783616,0.007506127450980227,0.015360864531068996,0.049549190138035604,0.016153079591190167,0.03278183327804585,0.046364789196420064,69.99617298124764,0.01267799315980936,0.031144790286496197,0.018753067466581494,0.06237646343317621,0.032212500490446105,1.4693964204425025,1.5186406567535975,0.02797181807829696,0.03504045724273852,0.014508732895297083,0.008775935949278583,1.2572887343436794,-0.07530028888550999,-0.0003003749028539504,-0.07499991398265604,2025-03-31,0,2025-03-01/2025-03-07
2025-03-04,300750.SZ,宁德时代,259.68,260.64,252.69,252.95,26836542.0,7115460892.0,000300.SH,沪深300,3865.994,3890.424,3855.725,3885.221,14985096700,,-0.038505397597688895,-0.024037348560845828,-0.02868443283925981,0.023343312565741403,-0.018249421700588186,-0.008109231505227021,0.005881393878419239,56.27646959173303,0.01057278231231121,0.03290317115183685,0.020607704567201676,0.03142913619292346,-0.02591651263093042,0.9995429202207163,1.0000803757863002,-0.013738419797183488,0.0054917087219654714,0.01785160384377593,0.008710423161377287,1.240384245810264,-0.053014429729195456,0.0006339407719664347,-0.05364837050116189,2025-04-01,0,2025-03-01/2025-03-07
2025-03-05,300750.SZ,宁德时代,252.95,253.81,248.62,251.02,20869610.0,5438997026.0,000300.SH,沪深300,3887.799,3906.421,3877.019,3902.571,15865275100,,-0.007629966396520915,-0.028372363073350115,-0.04591410110224259,0.035219399538106266,-0.020165036340783704,-0.01732271134686536,-0.0017967552363385986,49.6551724137931,0.007856411671678963,0.032200052357808664,0.02016796042558068,0.02067564337502987,-0.007629966396520915,0.7819294840003925,0.7682471396642891,-0.013884773485525526,0.006896977247169422,0.028322422290936844,0.008596884403313743,1.2386025599240162,-0.04541470799139513,-0.004659748663124907,-0.040754959328270224,2025-04-02,0,2025-03-01/2025-03-07
2025-03-06,300750.SZ,宁德时代,252.23,255.38,251.03,254.21,25027321.0,6601078272.0,000300.SH,沪深300,3923.383,3964.494,3917.083,3956.237,19396091500,,0.012708150744960456,-0.021064386937769575,-0.021780120829645533,0.044283777677361025,-0.003457576090194925,-0.006930120632539505,0.010648765661557258,44.839928415191906,0.006506056057527446,0.0298824931018786,0.02030896316973351,0.017111836670469276,0.00784997819450517,0.9374775432442305,0.9301599058713343,-0.018070774855864724,0.014772721895829122,0.029511055781531903,0.008680348357254031,1.2269895379776934,-0.08032728846229498,-0.0239454815270167,-0.05638180693527828,2025-04-03,0,2025-03-01/2025-03-07
2025-03-07,300750.SZ,宁德时代,252.91,253.51,248.79,250.79,22287108.0,5812794649.0,000300.SH,沪深300,3944.915,3967.074,3935.046,3944.014,16673237500,,-0.013453444002989756,-0.013414634146341475,-0.05369406082559802,-0.0019897329778343353,-0.014229000432372962,-0.020194640547900322,-0.003139493825353057,42.220557947949786,0.004437675856624108,0.02940137736182231,0.019312905612026594,0.01882052713425575,-0.008382428531888864,0.8542806947422195,0.8374307826674613,-0.027287210044485644,-0.015171062249551226,0.01318132927171689,0.008296314189119395,1.2281964598165687,-0.17460823796802105,-0.08990155714457415,-0.0847066808234469,2025-04-07,0,2025-03-01/2025-03-07
2025-03-10,300750.SZ,宁德时代,251.79,251.85,243.92,246.7,28675074.0,7355227161.0,000300.SH,沪深300,3945.58,3949.145,3905.127,3928.802,15276523200,,-0.016308465249810666,-0.06226242967918505,-0.05522365196078438,-0.00752303174156177,-0.017655912779631744,-0.03582155468400405,-0.019504585515137673,37.78924884300459,0.001419251966549532,0.03037523886733449,0.01951373104938102,0.032144304823672504,-0.020215258747368847,1.087158805449214,1.0488632029205467,-0.07263359327703867,-0.014633915905925221,0.007110884164363451,0.008349185844644922,1.233028709184458,-0.14600729631130926,-0.07077042823741186,-0.0752368680738974,2025-04-08,0,2025-03-08/2025-03-14
2025-03-11,300750.SZ,宁德时代,243.4,245.74,243.38,245.45,17135077.0,4355529583.0,000300.SH,沪深300,3890.431,3941.416,3889.43,3941.416,14475440200,,-0.0050668828536684085,-0.029650128483890148,-0.0529747665714948,0.013502353621273278,-0.016760537426792954,-0.04131953802108357,-0.023846074306212883,33.88127853881274,-0.0014308712123131233,0.0294124494368943,0.018618848385099297,0.009614992870238395,0.008422350041084492,0.659210934097773,0.6296903166696639,-0.04411391316949742,-0.001506395752621792,0.01500874937389507,0.00828620552574926,1.1626223620860672,-0.17168466082705236,-0.0646016558516026,-0.10708300497544976,2025-04-09,0,2025-03-08/2025-03-14
2025-03-12,300750.SZ,宁德时代,246.23,246.81,241.88,244.77,19914690.0,5058919204.0,000300.SH,沪深300,3946.862,3953.613,3921.474,3927.232,15673219000,,-0.0027704216744753873,-0.024898414468966568,-0.05256435068705245,-0.0031359452635008056,-0.014550051533110064,-0.04383170469216635,-0.02578781355825388,35.53639846743292,-0.0038849956641353847,0.029094368474194394,0.018375772264145874,0.020141357192466423,-0.005929415587052622,0.7773121824989889,0.7412608000366572,-0.03121758201261926,-0.005016113493912955,0.0018801682304121492,0.008078060108959798,1.1637887521276968,-0.1434816358213834,-0.04891918786565197,-0.09456244795573143,2025-04-10,0,2025-03-08/2025-03-14
2025-03-13,300750.SZ,宁德时代,244.29,249.29,243.33,243.54,16885150.0,4316530459.0,000300.SH,沪深300,3925.744,3939.285,3897.376,3911.579,15653644300,,-0.005025125628140725,-0.041973171787105246,-0.06215341959334575,-0.03126491646778051,-0.011005076142131975,-0.04717377908625875,-0.029688900693914166,27.75476387738192,-0.006192336862425419,0.028423022325461306,0.017516656880564637,0.024472365935780487,-0.0030701215768144108,0.6867386365211215,0.6589694618784951,-0.0306851726101095,-0.03291376900571774,0.0016488525379372287,0.008084037411411614,1.1617188269155854,-0.11538145684487144,-0.041175699123039644,-0.0742057577218318,2025-04-11,0,2025-03-08/2025-03-14
2025-03-14,300750.SZ,宁德时代,243.33,254.73,242.99,251.99,35108935.0,9148092797.0,000300.SH,沪深300,3919.616,4014.159,3919.616,4006.557,21613900300,,0.034696559086803136,0.004784879779895501,-0.008693941778127323,-0.028565921356977553,0.0223132784291451,-0.01268282744380489,0.004222951655904472,41.359076282415295,-0.004973753340708758,0.02878232129392886,0.01781325792602225,0.046589150363109566,0.03558952862367981,1.43866127094274,1.4101462343912987,-0.011072822550775685,-0.04571439702687319,0.017148475669895635,0.009570560822452551,1.188194335639635,-0.1450454383110441,-0.06175252217801963,-0.08329291613302447,2025-04-14,0,2025-03-08/2025-03-14
2025-03-17,300750.SZ,宁德时代,253.05,255.32,245.97,246.22,33515486.0,8685706367.0,000300.SH,沪深300,4020.64,4021.728,3992.256,3996.788,16220291100,,-0.022897734037064965,-0.0019456830158086635,-0.06408696974304384,-0.04971053647240453,-0.0007061860272571385,-0.03284979751200989,-0.017741974090494494,38.56336039534062,-0.0060911012576784565,0.02952063775717416,0.018455975205796966,0.03797416944196245,-0.026990713297767255,1.3475989893704992,1.3168206984173654,-0.01925019467101552,-0.062222576048854505,0.012512039576449974,0.00959399406191495,1.1728621013093226,-0.1088051336203395,-0.05893557526693938,-0.04986955835340012,2025-04-15,0,2025-03-15/2025-03-21
2025-03-18,300750.SZ,宁德时代,248.14,250.81,245.74,247.18,22576732.0,5817534421.0,000300.SH,沪深300,4011.779,4016.873,3995.96,4007.723,14020849600,,0.00389895215660796,0.007048278671827335,-0.02281083218027269,-0.05084094923584981,0.0017832536272999189,-0.02654762701785196,-0.01335983746262881,40.16552209896108,-0.00646953087518461,0.029287505923965163,0.018432395248644737,0.020511368233675834,-0.003868783751108218,0.9100927331892853,0.8865543333063743,-0.009774863062006256,-0.0751050088578632,0.02426405962201339,0.009340086518958974,1.1931348259085834,-0.12492920139169839,-0.05861258375391709,-0.0663166176377813,2025-04-16,0,2025-03-15/2025-03-21
2025-03-19,300750.SZ,宁德时代,247.37,256.77,246.97,255.25,36954120.0,9737109379.0,000300.SH,沪深300,4004.825,4025.299,3989.512,4010.168,14441942800,,0.03264827251395741,0.042815704538955,0.01685124691259654,-0.02983656404408974,0.025776013117073004,0.006790163630518986,0.018887506569712054,46.51345820872029,-0.003976579839851525,0.03001818945011891,0.01986749453170806,0.038393731635651254,0.03185511581840972,1.4416902275461914,1.4383137924609182,0.021697522572623473,-0.04760437042758692,0.017767806383497176,0.009241591161583271,1.2035566773862705,-0.14844270323212527,-0.05933566873008811,-0.08910703450203716,2025-04-17,0,2025-03-15/2025-03-21
