model,model_label,fpr,tpr,threshold
logistic_regression,逻辑回归,0.7045454545454546,0.6935483870967742,0.4316272065336635
logistic_regression,逻辑回归,0.7272727272727273,0.6935483870967742,0.4287357522658314
logistic_regression,逻辑回归,0.7272727272727273,0.7741935483870968,0.42535504982791933
logistic_regression,逻辑回归,0.75,0.7741935483870968,0.4221119693231556
logistic_regression,逻辑回归,0.75,0.8387096774193549,0.41248947305454686
logistic_regression,逻辑回归,0.7727272727272727,0.8387096774193549,0.4115184840826607
logistic_regression,逻辑回归,0.7727272727272727,0.8870967741935484,0.40374871442783233
logistic_regression,逻辑回归,0.8409090909090909,0.8870967741935484,0.3959496650420055
logistic_regression,逻辑回归,0.8409090909090909,0.9193548387096774,0.38940591360532223
logistic_regression,逻辑回归,0.9545454545454546,0.9193548387096774,0.358140277334765
logistic_regression,逻辑回归,0.9545454545454546,0.9516129032258065,0.35422101942685374
logistic_regression,逻辑回归,0.9772727272727273,0.9516129032258065,0.3541794765158354
logistic_regression,逻辑回归,0.9772727272727273,1.0,0.3299912001840296
logistic_regression,逻辑回归,1.0,1.0,0.3280143131323023
decision_tree,决策树,0.0,0.0,1.7986688851913477
decision_tree,决策树,0.022727272727272728,0.12903225806451613,0.7986688851913477
decision_tree,决策树,0.13636363636363635,0.1774193548387097,0.6091370558375634
decision_tree,决策树,0.9772727272727273,0.9354838709677419,0.4489264801561482
decision_tree,决策树,1.0,1.0,0.2710843373493976
random_forest,随机森林,0.0,0.0,1.7888553727825554
random_forest,随机森林,0.0,0.016129032258064516,0.7888553727825552
random_forest,随机森林,0.022727272727272728,0.016129032258064516,0.7788103163488853
random_forest,随机森林,0.022727272727272728,0.1774193548387097,0.6234520512868605
random_forest,随机森林,0.045454545454545456,0.1774193548387097,0.6209573033906325
random_forest,随机森林,0.045454545454545456,0.1935483870967742,0.5793363255278015
random_forest,随机森林,0.11363636363636363,0.1935483870967742,0.5188080507228164
random_forest,随机森林,0.11363636363636363,0.20967741935483872,0.5184923873876982
random_forest,随机森林,0.1590909090909091,0.20967741935483872,0.5136058789891655
random_forest,随机森林,0.1590909090909091,0.27419354838709675,0.5084135697245946
random_forest,随机森林,0.18181818181818182,0.27419354838709675,0.5054112860145245
random_forest,随机森林,0.18181818181818182,0.3387096774193548,0.4954630596197812
random_forest,随机森林,0.20454545454545456,0.3387096774193548,0.49453881481241857
random_forest,随机森林,0.20454545454545456,0.3709677419354839,0.49355015934046265
random_forest,随机森林,0.22727272727272727,0.3709677419354839,0.49322176923701255
random_forest,随机森林,0.22727272727272727,0.3870967741935484,0.49155466529414815
random_forest,随机森林,0.25,0.3870967741935484,0.4909168976778574
random_forest,随机森林,0.25,0.4032258064516129,0.4863827534810154
random_forest,随机森林,0.2727272727272727,0.4032258064516129,0.4859705524768683
random_forest,随机森林,0.2727272727272727,0.43548387096774194,0.4775440318964836
random_forest,随机森林,0.29545454545454547,0.43548387096774194,0.4773838096995437
random_forest,随机森林,0.29545454545454547,0.46774193548387094,0.47202233822615114
random_forest,随机森林,0.36363636363636365,0.46774193548387094,0.46456769735763287
random_forest,随机森林,0.36363636363636365,0.5,0.4568752545633069
random_forest,随机森林,0.4772727272727273,0.5,0.4520678538227865
random_forest,随机森林,0.4772727272727273,0.5161290322580645,0.45095892407100713
random_forest,随机森林,0.5227272727272727,0.5161290322580645,0.44948236339575004
random_forest,随机森林,0.5227272727272727,0.5645161290322581,0.44722151150231537
random_forest,随机森林,0.5454545454545454,0.5645161290322581,0.44619473948243127
random_forest,随机森林,0.5454545454545454,0.5806451612903226,0.44430378824501326
random_forest,随机森林,0.5681818181818182,0.5806451612903226,0.4420667057085307
random_forest,随机森林,0.5681818181818182,0.5967741935483871,0.4414951829181891
random_forest,随机森林,0.5909090909090909,0.5967741935483871,0.4387660410538042
random_forest,随机森林,0.5909090909090909,0.6290322580645161,0.4330728679442477
random_forest,随机森林,0.6363636363636364,0.6290322580645161,0.4268547181498063
random_forest,随机森林,0.6363636363636364,0.6774193548387096,0.4239161629059309
random_forest,随机森林,0.6590909090909091,0.6774193548387096,0.42380621847214023
random_forest,随机森林,0.6590909090909091,0.7258064516129032,0.41805917469006665
random_forest,随机森林,0.6818181818181818,0.7258064516129032,0.4177135648330954
random_forest,随机森林,0.6818181818181818,0.7419354838709677,0.41636559602131995
random_forest,随机森林,0.7045454545454546,0.7419354838709677,0.4134597259695804
random_forest,随机森林,0.7045454545454546,0.7580645161290323,0.4134046103753903
random_forest,随机森林,0.7272727272727273,0.7580645161290323,0.4113097393393426
random_forest,随机森林,0.7272727272727273,0.7741935483870968,0.4105044430832407
