model,model_label,fpr,tpr,threshold,auc
logistic_regression,逻辑回归,0.5311203319502075,0.5506003430531733,0.492758124607926,0.5289815875817598
logistic_regression,逻辑回归,0.5311203319502075,0.5523156089193825,0.49273022535665806,0.5289815875817598
logistic_regression,逻辑回归,0.5352697095435685,0.5523156089193825,0.4921465667167635,0.5289815875817598
logistic_regression,逻辑回归,0.5352697095435685,0.5574614065180102,0.49202087083305035,0.5289815875817598
logistic_regression,逻辑回归,0.5394190871369294,0.5574614065180102,0.49164902727985477,0.5289815875817598
logistic_regression,逻辑回归,0.5394190871369294,0.5591766723842195,0.49139503384878497,0.5289815875817598
logistic_regression,逻辑回归,0.5435684647302904,0.5591766723842195,0.49120003521237265,0.5289815875817598
logistic_regression,逻辑回归,0.5435684647302904,0.5643224699828473,0.490639943789261,0.5289815875817598
logistic_regression,逻辑回归,0.5477178423236515,0.5643224699828473,0.49060112613707024,0.5289815875817598
logistic_regression,逻辑回归,0.5477178423236515,0.5677530017152659,0.49047526270146574,0.5289815875817598
logistic_regression,逻辑回归,0.549792531120332,0.5677530017152659,0.4903096187316191,0.5289815875817598
logistic_regression,逻辑回归,0.549792531120332,0.5763293310463122,0.4896862931969692,0.5289815875817598
logistic_regression,逻辑回归,0.5518672199170125,0.5763293310463122,0.48968594846251445,0.5289815875817598
logistic_regression,逻辑回归,0.5518672199170125,0.5797598627787307,0.48933158023466167,0.5289815875817598
logistic_regression,逻辑回归,0.5560165975103735,0.5797598627787307,0.4893236923987016,0.5289815875817598
logistic_regression,逻辑回归,0.5560165975103735,0.5866209262435678,0.4883798026341053,0.5289815875817598
logistic_regression,逻辑回归,0.558091286307054,0.5866209262435678,0.4881467402605214,0.5289815875817598
logistic_regression,逻辑回归,0.558091286307054,0.5883361921097771,0.48798386791935067,0.5289815875817598
logistic_regression,逻辑回归,0.5601659751037344,0.5883361921097771,0.48781274697982174,0.5289815875817598
logistic_regression,逻辑回归,0.5601659751037344,0.5900514579759862,0.48762838054151764,0.5289815875817598
logistic_regression,逻辑回归,0.5663900414937759,0.5900514579759862,0.4874127920140017,0.5289815875817598
logistic_regression,逻辑回归,0.5663900414937759,0.5917667238421955,0.4873269533155788,0.5289815875817598
logistic_regression,逻辑回归,0.5705394190871369,0.5917667238421955,0.48722405988769396,0.5289815875817598
logistic_regression,逻辑回归,0.5705394190871369,0.5934819897084048,0.4870711740530163,0.5289815875817598
logistic_regression,逻辑回归,0.5746887966804979,0.5934819897084048,0.4869824118316998,0.5289815875817598
logistic_regression,逻辑回归,0.5746887966804979,0.5951972555746141,0.48695502291949655,0.5289815875817598
logistic_regression,逻辑回归,0.5767634854771784,0.5951972555746141,0.48690167937744444,0.5289815875817598
logistic_regression,逻辑回归,0.5767634854771784,0.5986277873070326,0.4868922742312359,0.5289815875817598
